x,y
48.5,7.98297e-11
48.6,8.11032e-11
48.7,8.15577e-11
48.8,8.11969e-11
48.9,8.00324e-11
49,7.80838e-11
49.1,7.53783e-11
49.2,7.19504e-11
49.3,6.78412e-11
49.4,6.30984e-11
49.5,5.77755e-11
49.6,5.19312e-11
49.7,4.56287e-11
49.8,3.89354e-11
49.9,3.19215e-11
50,2.466e-11
50.1,1.72257e-11
50.2,9.69402e-12
50.3,2.14094e-12
50.4,-5.35827e-12
50.5,-1.27296e-11
50.6,-1.9901e-11
50.7,-2.68032e-11
50.8,-3.33703e-11
50.9,-3.95402e-11
51,-4.52557e-11
51.1,-5.04643e-11
51.2,-5.51195e-11
51.3,-5.91803e-11
51.4,-6.26123e-11
51.5,-6.53877e-11
51.6,-6.74854e-11
51.7,-6.88913e-11
51.8,-6.95984e-11
51.9,-6.96064e-11
52,-6.89223e-11
52.1,-6.75599e-11
52.2,-6.55393e-11
52.3,-6.28872e-11
52.4,-5.96363e-11
52.5,-5.58249e-11
52.6,-5.14964e-11
52.7,-4.66989e-11
52.8,-4.1485e-11
52.9,-3.59105e-11
53,-3.00344e-11
53.1,-2.39182e-11
53.2,-1.76251e-11
53.3,-1.12193e-11
53.4,-4.76576e-12
53.5,1.67095e-12
53.6,8.02701e-12
53.7,1.424e-11
53.8,2.02496e-11
53.9,2.59981e-11
54,3.1431e-11
54.1,3.64973e-11
54.2,4.11503e-11
54.3,4.53479e-11
54.4,4.90529e-11
54.5,5.22334e-11
54.6,5.48629e-11
54.7,5.69208e-11
54.8,5.83924e-11
54.9,5.92687e-11
55,5.95471e-11
55.1,5.92308e-11
55.2,5.83287e-11
55.3,5.68557e-11
55.4,5.4832e-11
55.5,5.22834e-11
55.6,4.92404e-11
55.7,4.57381e-11
55.8,4.18159e-11
55.9,3.7517e-11
56,3.28879e-11
56.1,2.79779e-11
56.2,2.28386e-11
56.3,1.75234e-11
56.4,1.20869e-11
56.5,6.58424e-12
56.6,1.07091e-12
56.7,-4.39821e-12
56.8,-9.76919e-12
56.9,-1.49896e-11
57,-2.0009e-11
57.1,-2.47796e-11
57.2,-2.92563e-11
57.3,-3.33977e-11
57.4,-3.71658e-11
57.5,-4.05269e-11
57.6,-4.34516e-11
57.7,-4.59153e-11
57.8,-4.78979e-11
57.9,-4.93847e-11
58,-5.03656e-11
58.1,-5.08361e-11
58.2,-5.07965e-11
58.3,-5.02523e-11
58.4,-4.92138e-11
58.5,-4.76965e-11
58.6,-4.572e-11
58.7,-4.33087e-11
