x,y
0.488,-0.370945
0.489,-0.369315
0.49,-0.367684
0.491,-0.366051
0.492,-0.364416
0.493,-0.362779
0.494,-0.361141
0.495,-0.359502
0.496,-0.35786
0.497,-0.356217
0.498,-0.354573
0.499,-0.352927
0.5,-0.351279
0.501,-0.349629
0.502,-0.347978
0.503,-0.346325
0.504,-0.344671
0.505,-0.343014
0.506,-0.341357
0.507,-0.339697
0.508,-0.338036
0.509,-0.336373
0.51,-0.334709
0.511,-0.333043
0.512,-0.331375
0.513,-0.329705
0.514,-0.328034
0.515,-0.326361
0.516,-0.324687
0.517,-0.323011
0.518,-0.321333
0.519,-0.319654
0.52,-0.317972
0.521,-0.316289
0.522,-0.314605
0.523,-0.312919
0.524,-0.311231
0.525,-0.309541
0.526,-0.30785
0.527,-0.306157
0.528,-0.304462
0.529,-0.302766
0.53,-0.301068
0.531,-0.299368
0.532,-0.297666
0.533,-0.295963
0.534,-0.294258
0.535,-0.292552
0.536,-0.290843
0.537,-0.289133
0.538,-0.287422
0.539,-0.285708
0.54,-0.283993
0.541,-0.282276
0.542,-0.280558
0.543,-0.278837
0.544,-0.277115
0.545,-0.275392
0.546,-0.273666
0.547,-0.271939
0.548,-0.27021
0.549,-0.268479
0.55,-0.266747
0.551,-0.265013
0.552,-0.263277
0.553,-0.261539
0.554,-0.2598
0.555,-0.258059
0.556,-0.256316
0.557,-0.254572
0.558,-0.252825
0.559,-0.251077
0.56,-0.249327
0.561,-0.247576
0.562,-0.245823
0.563,-0.244068
0.564,-0.242311
0.565,-0.240552
0.566,-0.238792
0.567,-0.23703
0.568,-0.235266
0.569,-0.2335
0.57,-0.231733
0.571,-0.229964
0.572,-0.228193
0.573,-0.22642
0.574,-0.224646
0.575,-0.222869
0.576,-0.221091
0.577,-0.219312
0.578,-0.21753
0.579,-0.215747
0.58,-0.213962
0.581,-0.212175
0.582,-0.210386
0.583,-0.208595
0.584,-0.206803
0.585,-0.205009
0.586,-0.203213
0.587,-0.201415
0.588,-0.199616
0.589,-0.197815
0.59,-0.196012
0.591,-0.194207
0.592,-0.1924
0.593,-0.190591
0.594,-0.188781
0.595,-0.186969
0.596,-0.185155
0.597,-0.183339
0.598,-0.181522
0.599,-0.179702
0.6,-0.177881
0.601,-0.176058
0.602,-0.174233
0.603,-0.172407
0.604,-0.170578
0.605,-0.168748
0.606,-0.166916
0.607,-0.165082
0.608,-0.163246
0.609,-0.161408
0.61,-0.159569
0.611,-0.157727
0.612,-0.155884
0.613,-0.154039
0.614,-0.152192
0.615,-0.150343
0.616,-0.148493
0.617,-0.14664
0.618,-0.144786
0.619,-0.14293
0.62,-0.141072
0.621,-0.139212
0.622,-0.13735
0.623,-0.135487
0.624,-0.133621
0.625,-0.131754
0.626,-0.129885
0.627,-0.128014
0.628,-0.126141
0.629,-0.124266
0.63,-0.122389
0.631,-0.120511
0.632,-0.11863
0.633,-0.116748
0.634,-0.114864
0.635,-0.112978
0.636,-0.11109
0.637,-0.1092
0.638,-0.107308
0.639,-0.105415
0.64,-0.103519
0.641,-0.101622
0.642,-0.0997224
0.643,-0.0978211
0.644,-0.095918
0.645,-0.094013
0.646,-0.092106
0.647,-0.0901972
0.648,-0.0882864
0.649,-0.0863738
0.65,-0.0844592
0.651,-0.0825427
0.652,-0.0806243
0.653,-0.0787039
0.654,-0.0767817
0.655,-0.0748575
0.656,-0.0729314
0.657,-0.0710033
0.658,-0.0690734
0.659,-0.0671415
0.66,-0.0652077
0.661,-0.0632719
0.662,-0.0613342
0.663,-0.0593946
0.664,-0.057453
0.665,-0.0555095
0.666,-0.053564
0.667,-0.0516166
0.668,-0.0496672
0.669,-0.0477159
0.67,-0.0457627
0.671,-0.0438075
0.672,-0.0418503
0.673,-0.0398912
0.674,-0.0379301
0.675,-0.035967
0.676,-0.034002
0.677,-0.032035
0.678,-0.0300661
0.679,-0.0280952
0.68,-0.0261223
0.681,-0.0241474
0.682,-0.0221706
0.683,-0.0201917
0.684,-0.0182109
0.685,-0.0162282
0.686,-0.0142434
0.687,-0.0122567
0.688,-0.0102679
0.689,-0.00827719
0.69,-0.00628447
0.691,-0.00428975
0.692,-0.00229305
0.693,-0.000294339
0.694,0.00170637
0.695,0.00370907
0.696,0.00571379
0.697,0.0077205
0.698,0.00972923
0.699,0.01174
0.7,0.0137527
0.701,0.0157675
0.702,0.0177842
0.703,0.019803
0.704,0.0218238
0.705,0.0238467
0.706,0.0258715
0.707,0.0278984
0.708,0.0299273
0.709,0.0319583
0.71,0.0339913
0.711,0.0360263
0.712,0.0380633
0.713,0.0401024
0.714,0.0421435
0.715,0.0441867
0.716,0.0462319
0.717,0.0482791
0.718,0.0503285
0.719,0.0523798
0.72,0.0544332
0.721,0.0564887
0.722,0.0585462
0.723,0.0606058
0.724,0.0626674
0.725,0.0647311
0.726,0.0667969
0.727,0.0688647
0.728,0.0709346
0.729,0.0730066
0.73,0.0750806
0.731,0.0771567
0.732,0.0792349
0.733,0.0813152
0.734,0.0833976
0.735,0.085482
0.736,0.0875685
0.737,0.0896571
0.738,0.0917478
0.739,0.0938406
0.74,0.0959355
0.741,0.0980325
0.742,0.100132
0.743,0.102233
0.744,0.104336
0.745,0.106441
0.746,0.108549
0.747,0.110659
0.748,0.11277
0.749,0.114884
0.75,0.117
0.751,0.119118
0.752,0.121238
0.753,0.123361
0.754,0.125485
0.755,0.127612
0.756,0.12974
0.757,0.131871
0.758,0.134004
0.759,0.136139
0.76,0.138276
0.761,0.140416
0.762,0.142557
0.763,0.144701
0.764,0.146846
0.765,0.148994
0.766,0.151144
0.767,0.153297
0.768,0.155451
0.769,0.157608
0.77,0.159766
0.771,0.161927
0.772,0.16409
0.773,0.166255
0.774,0.168423
0.775,0.170592
0.776,0.172764
0.777,0.174938
0.778,0.177114
0.779,0.179292
0.78,0.181472
0.781,0.183655
0.782,0.18584
0.783,0.188027
0.784,0.190216
0.785,0.192407
0.786,0.1946
0.787,0.196796
0.788,0.198994
0.789,0.201194
0.79,0.203396
0.791,0.205601
0.792,0.207808
0.793,0.210017
0.794,0.212228
0.795,0.214441
0.796,0.216657
0.797,0.218874
0.798,0.221094
0.799,0.223316
0.8,0.225541
0.801,0.227768
0.802,0.229996
0.803,0.232228
0.804,0.234461
0.805,0.236696
0.806,0.238934
0.807,0.241174
0.808,0.243417
0.809,0.245661
0.81,0.247908
0.811,0.250157
0.812,0.252408
0.813,0.254662
0.814,0.256918
0.815,0.259176
0.816,0.261436
0.817,0.263699
0.818,0.265963
0.819,0.26823
0.82,0.2705
0.821,0.272771
0.822,0.275045
0.823,0.277322
0.824,0.2796
0.825,0.281881
0.826,0.284164
0.827,0.286449
0.828,0.288737
0.829,0.291027
0.83,0.293319
0.831,0.295613
0.832,0.29791
0.833,0.300209
0.834,0.30251
0.835,0.304814
0.836,0.30712
0.837,0.309428
0.838,0.311739
0.839,0.314052
0.84,0.316367
0.841,0.318685
0.842,0.321004
0.843,0.323327
0.844,0.325651
0.845,0.327978
0.846,0.330307
0.847,0.332638
0.848,0.334972
0.849,0.337308
0.85,0.339647
0.851,0.341988
0.852,0.344331
0.853,0.346676
0.854,0.349024
0.855,0.351374
0.856,0.353727
0.857,0.356082
0.858,0.358439
0.859,0.360799
0.86,0.363161
0.861,0.365525
0.862,0.367892
0.863,0.370261
0.864,0.372632
0.865,0.375006
0.866,0.377382
0.867,0.379761
0.868,0.382142
0.869,0.384525
0.87,0.386911
0.871,0.389299
0.872,0.391689
0.873,0.394082
0.874,0.396478
0.875,0.398875
0.876,0.401275
0.877,0.403678
0.878,0.406083
0.879,0.40849
0.88,0.4109
0.881,0.413312
0.882,0.415726
0.883,0.418143
0.884,0.420563
0.885,0.422984
0.886,0.425409
0.887,0.427835
0.888,0.430264
0.889,0.432696
0.89,0.43513
0.891,0.437566
0.892,0.440005
0.893,0.442446
0.894,0.44489
0.895,0.447336
0.896,0.449784
0.897,0.452235
0.898,0.454689
0.899,0.457145
0.9,0.459603
0.901,0.462064
0.902,0.464527
0.903,0.466993
0.904,0.469461
0.905,0.471932
0.906,0.474405
0.907,0.476881
0.908,0.479359
0.909,0.481839
0.91,0.484323
0.911,0.486808
0.912,0.489296
0.913,0.491787
0.914,0.49428
0.915,0.496775
0.916,0.499273
0.917,0.501774
0.918,0.504277
0.919,0.506782
0.92,0.50929
0.921,0.511801
0.922,0.514314
0.923,0.51683
0.924,0.519348
0.925,0.521868
0.926,0.524391
0.927,0.526917
0.928,0.529445
0.929,0.531976
0.93,0.534509
0.931,0.537045
0.932,0.539583
0.933,0.542124
0.934,0.544668
0.935,0.547213
0.936,0.549762
0.937,0.552313
0.938,0.554867
0.939,0.557423
0.94,0.559981
0.941,0.562543
0.942,0.565107
0.943,0.567673
0.944,0.570242
0.945,0.572813
0.946,0.575387
0.947,0.577964
0.948,0.580543
0.949,0.583125
0.95,0.58571
0.951,0.588297
0.952,0.590886
0.953,0.593478
0.954,0.596073
0.955,0.598671
0.956,0.601271
0.957,0.603873
0.958,0.606478
0.959,0.609086
0.96,0.611696
0.961,0.614309
0.962,0.616925
0.963,0.619543
0.964,0.622164
0.965,0.624788
0.966,0.627414
0.967,0.630042
0.968,0.632674
0.969,0.635308
0.97,0.637944
0.971,0.640584
0.972,0.643226
0.973,0.64587
0.974,0.648517
0.975,0.651167
0.976,0.65382
0.977,0.656475
0.978,0.659133
0.979,0.661793
0.98,0.664456
0.981,0.667122
0.982,0.66979
0.983,0.672462
0.984,0.675135
0.985,0.677812
0.986,0.680491
0.987,0.683173
0.988,0.685857
0.989,0.688545
0.99,0.691234
0.991,0.693927
0.992,0.696622
0.993,0.69932
0.994,0.702021
0.995,0.704724
0.996,0.70743
0.997,0.710139
0.998,0.712851
0.999,0.715565
1,0.718282
