x,y
3.96,-4.02597
3.964,-4.03795
3.968,-4.04992
3.972,-4.06189
3.976,-4.07386
3.98,-4.08582
3.984,-4.09777
3.988,-4.10971
3.992,-4.12165
3.996,-4.13358
4,-4.1455
