0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
2.0744,2.00549,1.93414,1.86007,1.78294,1.70234,1.61775,1.52853,1.4338,1.33244,1.22281,1.10251,0.967705,0.811493,0.618843,0.341079,0.0375324,2.29158e-05,1.48836e-15,1.22836e-47,4.27466e-148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
2.13454,2.06764,1.9985,1.9269,1.85255,1.7751,1.69414,1.60913,1.51941,1.4241,1.322,1.21146,1.08995,0.953443,0.794608,0.597077,0.305193,0.0250651,6.25226e-06,2.45743e-17,3.1439e-53,1.27929e-165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
2.19303,2.12797,2.06086,1.9915,1.91964,1.845,1.76723,1.6859,1.60046,1.51024,1.41432,1.31148,1.19999,1.07723,0.938949,0.777345,0.574598,0.268548,0.0158941,1.45527e-06,2.46121e-19,1.70598e-59,2.98375e-185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
2.25,2.18663,2.12138,2.05406,1.98447,1.91235,1.83743,1.75933,1.67762,1.59174,1.50101,1.40448,1.30088,1.18841,1.06435,0.924212,0.759658,0.551246,0.231901,0.00951505,2.8381e-07,1.41467e-21,1.65266e-66,3.1785e-207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
2.30556,2.24376,2.18022,2.11477,2.04724,1.97741,1.90504,1.82982,1.75139,1.6693,1.58298,1.49172,1.39456,1.29019,1.17672,1.05131,0.909221,0.741507,0.526814,0.196118,0.00534488,4.54777e-08,4.39241e-24,2.36031e-74,8.46847e-232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
2.35982,2.29948,2.23751,2.17379,2.10815,2.0404,1.97034,1.8977,1.82218,1.74341,1.66093,1.57417,1.48238,1.38458,1.27941,1.16491,1.03811,0.893972,0.722862,0.501072,0.16207,0.00279833,5.85783e-09,6.87836e-27,3.98759e-83,2.80516e-259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
2.41286,2.35387,2.29338,2.23125,2.16734,2.1015,2.03354,1.96323,1.89033,1.81451,1.7354,1.65253,1.56531,1.47298,1.37452,1.26853,1.15299,1.02474,0.878465,0.703705,0.473788,0.130552,0.00135503,5.91296e-10,5.01472e-30,6.15417e-93,5.07929e-290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
2.46475,2.40704,2.34791,2.28726,2.22497,2.16088,2.09484,2.02666,1.95611,1.88293,1.80681,1.72735,1.64408,1.5564,1.46352,1.36439,1.25757,1.14094,1.0112,0.862698,0.684035,0.444758,0.102209,0.000601364,4.53913e-11,1.54913e-33,6.40553e-104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
2.51558,2.45906,2.40121,2.34194,2.28113,2.21867,2.1544,2.08816,2.01975,1.94896,1.8755,1.79907,1.71926,1.63559,1.54744,1.45399,1.35418,1.2465,1.12876,0.997493,0.846668,0.663854,0.413847,0.0775011,0.000241979,2.55812e-12,1.81706e-37,3.16768e-116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
2.56539,2.51,2.45335,2.39537,2.33595,2.27499,2.21235,2.1479,2.08145,2.01282,1.94178,1.86805,1.7913,1.71114,1.62706,1.53842,1.4444,1.34389,1.23534,1.11645,0.983601,0.830364,0.643162,0.381037,0.0566831,8.71758e-05,1.01628e-13,7.14268e-42,5.02146e-130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
