0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
1.59099,1.5,1.40312,1.29904,1.18585,1.06066,0.918559,0.75,0.53033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.66864,1.58213,1.4906,1.39306,1.28817,1.17394,1.04732,0.90312,0.73101,0.503115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.74284,1.6602,1.57321,1.48113,1.38293,1.2772,1.1619,1.0338,0.887412,0.711512,0.474342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.81401,1.73476,1.6517,1.56425,1.47161,1.37273,1.26615,1.14973,1.02011,0.871421,0.691466,0.443706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.88249,1.80624,1.72663,1.64317,1.55523,1.46202,1.36244,1.25499,1.13743,1.00623,0.855132,0.67082,0.410792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.94856,1.875,1.79844,1.71847,1.63459,1.54616,1.45237,1.35208,1.24373,1.125,0.992157,0.838525,0.649519,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.01246,1.94133,1.86748,1.7906,1.71026,1.62596,1.53704,1.44265,1.34164,1.23238,1.11243,0.97788,0.821584,0.627495,0.33541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0744,2.00546,1.93407,1.85994,1.78273,1.70202,1.61729,1.52787,1.43287,1.33112,1.22091,1.09972,0.963392,0.804285,0.604669,0.290474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.13454,2.06761,1.99844,1.92678,1.85236,1.77482,1.69374,1.60857,1.51863,1.42302,1.32051,1.20934,1.08685,0.948683,0.786607,0.580948,0.237171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.19303,2.12794,2.06079,1.99139,1.91947,1.84476,1.76688,1.68542,1.5998,1.50935,1.41311,1.30982,1.19765,1.07384,0.933742,0.768521,0.556215,0.167705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
